path,sha256,bytes,data_class
configs/problem_3_1/question_4.json,9cbfd67c2e3e61860cc9e4d81890c66c7f0d5cc83bfb4e990e931713423384fe,2999,SCENARIO_CHOICE_OR_COMMERCIAL_ASSUMPTION
configs/problem_3_1/question_4_distributed_bess_strict_tie_break.json,b7813af4cf7b46f977a0ea154311fd196d7dbcae0462b3841caae3706bb26fc4,1299,SCENARIO_CHOICE_OR_COMMERCIAL_ASSUMPTION
configs/problem_3_1/question_4_q2_economic_downsizing.json,aa940aaff35fc7b05f16a6095d662e031e9c3cbc635e52ac43fc34b22793bfdf,706,SCENARIO_CHOICE_OR_COMMERCIAL_ASSUMPTION
configs/problem_3_1/question_6.json,a44711bf5396bbe6cc055ec83f8eebfcb1b4dd926e74c40ad74ee163e07b6b5c,1411,SCENARIO_CHOICE_OR_COMMERCIAL_ASSUMPTION
configs/problem_3_2/constraint_groups.json,045dc2ac5dc8bf90e91b1d03f4b96485c6ffec55e3248891986648ab324edb8a,893,SCENARIO_CHOICE_OR_COMMERCIAL_ASSUMPTION
data/participant-kit/gridkit.py,c240d5f5c9f90b6c174de11b4515dd834566cba33826e8b8977122a41d5d2901,15011,OFFICIAL_INPUT
data/participant-kit/networks/WP2033_all-island.nc,58cf5260839c43d9c49cdb25a7e019c7ccce771732ef5f8dfc585da0fe447164,2012856,OFFICIAL_INPUT
data/participant-kit/networks/WP2033_north-west.nc,203f3c09c35c7a402aa63aa1c08b8cc23f118d05161a828bfc61114e3d9bbc80,120398,OFFICIAL_INPUT
results/problem_3_1/question_1_final/tables/02_line_constraint_and_rating_results.csv,de8fba25783161ed8ee0819419de70853cf176a8b9d7deb908eb1aa1bde558cb,4568,MODEL_DERIVED
results/problem_3_1/question_1_final/tables/05_all_island_scope_robustness.csv,90030f596225d3049677585004618f9a0a8e0c7bb9142d1be4cb4dc81d1789c8,2269,MODEL_DERIVED
results/problem_3_1/question_2/tables/04_single_site_screening.csv,329a856ff33f24d75f3d44c347e0c7863c4a9caf34f87c055a822460ca0c87d6,9060,MODEL_DERIVED
results/problem_3_1/question_2/tables/05_two_site_screening.csv,db5db4d91c4330f0340e4b4d1102e21b5890b2f6d139532c77439c4b6b3fe296,2607,MODEL_DERIVED
results/problem_3_1/question_2/tables/06_theoretical_sizing_trials.csv,257bb8e1a2aaa1cfed6aef413b8a57385dbb574a17ec4e92f6820280a58fd85b,15735,MODEL_DERIVED
results/problem_3_1/question_2/tables/07_health_aware_sizing_trials.csv,a1b5f119e7c51f4b0c473834a35791fb99be23c4aea57e2fab9d58f46752c680,13226,MODEL_DERIVED
results/problem_3_1/question_2/tables/09_health_aware_pareto_frontier.csv,391db6b9655ca311e1df784dfd0ed9ac624db4e4fe0edc0e05d7baa1d0a2057c,2435,MODEL_DERIVED
results/problem_3_1/question_2/tables/10_recommendation_summary.csv,91420697371250f1e4eeb66a0e89ac17ebd81eace89b9d19b00b3b213a61744c,5070,MODEL_DERIVED
results/problem_3_1/question_2/tables/_trial_cache.csv,6cd4409dad96456c0076ef1e31cdb99da79c4687a72cd7efb089077f23b4125a,37677,MODEL_DERIVED
results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,5615,MODEL_DERIVED
results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,3535,MODEL_DERIVED
results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910_v2/04_technical_revenue_cost_npv_payback.csv,5b393d93ee9ea67cfb900146381035ac8bc059e7a4751590323c5553b02f474e,2267,MODEL_DERIVED
results/problem_3_1/question_4_economic_downsizing_168h_20260910_v2/04_technical_revenue_cost_npv_payback.csv,c8278ff71fbb6978dc2cc0f8dcf9631962f6779e9d02e8eb778088342f1737e7,2831,MODEL_DERIVED
results/problem_3_1/question_4_economic_downsizing_168h_20260910_v2/manifest.json,35eed915fcee5b6af7e174804fe1a15de2744cf16ea8950b7f8bf77d1e40bf5a,6968,MODEL_DERIVED
results/problem_3_1/question_4_final_comparison_20260910_v3/01_capacity_fixed_vs_dlr.csv,88460f7ad5303a9276fed18eff25dff2d9d763c9dfeb6eaa73fc8f3498d04ec6,2526,MODEL_DERIVED
results/problem_3_1/question_4_final_comparison_20260910_v3/PRESENTATION_CALCULATIONS.md,354e6b66758b02663367463b778269b3941261db18dc0eb0c3a83bf831a0f228,3731,MODEL_DERIVED
results/problem_3_1/question_4_final_comparison_20260910_v3/manifest.json,b26fa55bd8742c395a084fbf9182af1959df82890de0d736d395ef54be83d98a,1288,MODEL_DERIVED
results/problem_3_1/question_5_final/03_target_line_ranking.csv,aeeb73ec14983dd386aabcc6a0914f4eeb2a7dfc8e30a5cd40bfde319f3a9de9,7414,MODEL_DERIVED
results/problem_3_1/question_5_final/05_finite_difference_validation.csv,506416dc434a023e24c3c0bb98c3492e47b72a45491bfa6116e7a95b42c63396,2065,MODEL_DERIVED
results/problem_3_1/question_5_final/06_dlr_rating_invariance.csv,f17660314ba62b623e1e0f8518a86deb59ea3b144569bdbb37583f907d1b63d5,243,MODEL_DERIVED
results/problem_3_1/question_6_final_20260910_v2/02_scenario_summary.csv,0c80d8667aa467608f8b39810a88d5f4841e68922f812e8af3de397e0e33dd85,3836,MODEL_DERIVED
results/problem_3_1/question_6_final_20260910_v2/06_generator_status_impacts.csv,5283c74f2fe6f8c7a5e598c8c747a92a6ce183a0ce70c16a7dbb1444b0c20e19,1583,MODEL_DERIVED
results/problem_3_2/constraint_groups_final_20260910_v3/01_directional_constraint_modes.csv,fdbd5c4132c4efc34e912f95a05da489a995e9e7a8f15bc3f3f14f6729193829,2265,MODEL_DERIVED
